Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,0.41,0.02,0.2,227.29,0.0,8.59,68.5,44.65,10.51,13.07,97.7,254.62,0.0,8.93,136.4,57.22,0.0,7.32,64.2,216.3,0.0,10.19,161.0,315.18,11.96,12.19,180.0,105.64,0.54,18.7,158.7
346.03,7.42,0.03,0.3,212.7,3.16,12.65,127.4,8.96,3.11,7.35,156.7,199.07,3.2,10.38,86.5,346.55,0.21,8.32,77.4,116.63,10.04,11.66,135.6,191.43,1.77,19.25,132.2,322.47,6.02,14.18,134.7
346.03,8.77,0.03,0.2,197.31,6.9,15.48,108.0,335.74,0.0,8.55,110.9,144.4,9.79,6.12,184.9,273.6,12.76,8.29,104.6,11.87,1.84,12.12,124.3,72.6,0.0,11.53,146.9,182.11,0.0,11.15,111.0
346.03,2.36,0.02,0.2,181.85,0.0,9.71,85.5,300.85,2.66,16.37,157.6,88.95,2.3,16.19,115.6,194.06,2.74,12.22,90.7,274.83,0.24,15.01,160.7,315.88,11.07,13.13,141.8,40.34,0.73,12.58,138.0
346.03,0.0,0.01,0.1,167.52,0.31,8.79,150.5,263.58,4.52,12.82,63.2,31.99,0.0,12.72,51.7,119.27,0.0,13.54,153.3,174.9,9.66,15.75,145.9,192.04,0.0,11.56,110.4,263.58,7.68,17.01,153.5
346.03,0.17,0.02,0.2,152.4,9.84,6.72,106.8,228.08,0.0,6.43,125.1,338.2,5.95,9.02,135.2,39.73,3.72,17.48,180.1,75.59,1.67,15.77,142.8,73.12,1.4,18.29,156.4,123.75,0.0,13.51,141.1
346.03,5.42,0.01,0.2,137.11,2.48,8.3,80.2,193.27,1.63,6.29,85.8,282.57,4.87,16.17,46.1,322.29,3.29,18.79,162.7,337.5,0.3,14.86,183.5,315.62,9.52,16.47,157.2,340.58,3.52,16.08,146.3
346.03,9.06,0.03,0.2,122.61,0.0,10.81,84.6,160.05,9.0,13.62,111.7,226.67,0.0,6.61,116.1,243.54,0.0,14.98,167.5,236.95,9.33,10.81,149.0,196.61,0.33,15.18,92.5,199.6,5.55,18.59,159.8
346.03,3.38,0.02,0.1,107.4,7.08,13.51,105.1,123.84,0.0,8.37,107.5,171.83,2.28,15.26,168.1,165.15,8.4,13.74,131.9,137.72,1.26,8.64,110.9,83.14,0.02,14.39,147.6,59.41,0.0,10.08,123.4
346.03,0.0,0.01,0.4,91.49,6.03,14.97,136.0,88.07,0.0,11.18,140.3,114.08,5.95,8.03,158.0,86.57,4.01,10.49,101.4,41.04,0.0,16.6,119.4,325.11,10.1,14.7,133.4,281.25,3.78,17.67,168.3
346.03,0.08,0.01,0.2,76.73,0.0,4.01,120.9,52.47,8.79,7.46,78.9,57.74,0.0,7.83,102.2,9.4,0.0,5.46,79.5,303.4,10.75,16.93,159.4,201.27,0.0,14.04,103.1,141.42,5.18,13.98,135.8
346.03,3.14,0.03,0.3,61.88,0.22,9.21,90.1,19.42,6.38,12.44,62.0,3.43,0.0,10.42,160.4,301.99,0.45,10.68,85.1,199.6,0.45,17.87,71.1,83.23,1.55,13.7,183.7,358.86,0.0,11.5,153.6
